,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
DOM_27: Electrical equipment,149.6,0.6,44,10.3,0.4,392.3,81.9,57.4,147.3,143.7,391.9,169.1,240.2,167.8,427.9,649.5,907.4,7602.9,4554.6,3196.4,551,1426.6,1698.5,151.7,6167.9,841.7,289,99.4,128.9,231.5,46.8,450.6,74.7,213.4,234.9,161.7,119.2,286.4,576.1,383.3,76.4,317.3,53,281,0,11049.4,55.9,364.8,12161.3,1084.5,0,191.1,67379,126482.1
"DOM_28: Machinery and equipment, nec",1277,2.1,187.5,36.8,3,1259.6,292.9,104.1,387.1,291.8,929.7,414.3,569,415.4,1038.5,2772.4,990.7,2068.4,35306.5,11904.1,1447.8,2580.3,1031.8,553,3535.9,1689.8,446.4,418.3,308.4,333.4,78.5,337,125.3,274.9,498.2,298.2,695.5,697.2,772.6,703,154.9,802.8,64.5,145.5,0,8173.2,144.3,698.7,54372.1,2082.9,0,153.8,179706.5,323575.5
"DOM_29: Motor vehicles, trailers and semi-trailers",419.8,0.6,12.7,5.2,0.4,267.3,45.2,60.6,102.9,65.8,548.4,852.4,300.3,165.1,143.7,616.1,220.5,583.1,6852.3,82022.2,425.5,481.4,299.1,452,935.3,4632.7,1736,70.4,63.9,1927.7,664.5,148.9,124.1,146.3,285.1,339.9,179.3,780.5,967.8,972.8,249.1,354.3,92.8,82.2,0,60545.7,429.1,1264.1,57138.8,2811.3,0,494.9,249929.8,482309.7
DOM_30: Other transport equipment,21.3,1.6,9.6,3.1,0.1,62,11.8,11,21.4,14.7,81.3,67.8,42.2,26.4,60.5,93.1,41.3,88.1,151.3,203,5386.1,855.3,65.7,26.7,116.4,149.3,55.9,30.8,210.6,41.4,9.4,21.2,19,30.9,46.1,57.2,48.5,97.1,178.8,1264.5,20.7,59.9,13.1,11.9,0,2472.4,31.8,330.1,7654.9,711.7,0,60.5,38201.7,59291.3
DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,105.5,1,311.1,98.4,1.7,766.8,283.1,297.3,515.1,179,1208.5,121.4,401.8,584.7,1799.7,1813.6,1003.3,922.6,3276.7,3954.1,581.9,2621.8,1563.1,87.6,555.7,482.8,992.9,889,1218,205.8,28.5,156.3,80.4,493.2,144.2,124.1,244.9,393.7,324.3,601.3,96.9,5093.4,84,108.2,0,22572.1,20.2,666.6,19920.6,2397.8,0,652.2,35595.5,116642.4
"DOM_35: Electricity, gas, steam and air conditioning supply",1283.2,8.9,95,61.1,2.3,2754.9,491.3,445.9,2036.7,1390.1,3726,500,2074.1,1911,3940.8,2127.3,852,1011.8,2391.7,2952.9,302.3,807.9,28400.9,1684.7,2409.5,9691,3681.4,58.5,49.6,1445.9,619.9,2602.8,573.8,987.6,502.2,1945.8,2752.6,3053.7,1869,3143.3,1260.2,4643,965.2,1381,0,53465.5,78.2,1117.6,10099.2,122.9,0,47.7,6089.7,175909.4
"DOM_36T39: Water supply; sewerage, waste management and remediation activities",1117.3,4.4,191.6,48.6,0.5,2707.8,545.8,370.7,3877.8,137.5,2307.4,233.5,4752.8,1497.5,4903.4,4502,215.6,289.9,621.2,885.5,40.2,383.8,425.6,13645.1,679.5,2364,203.8,8.8,8.7,351.6,107.2,1667.6,156.6,169.8,200.7,579.2,485,847.2,1142.6,3560.3,397.6,1756.5,594,692.6,0,21995.2,9,1396.5,1701.6,12.6,0,10.1,677.2,85481.2
DOM_41T43: Construction,980.1,5.7,53.5,35.5,1.9,1384.4,308.8,227.5,622.4,381.5,1322,750.8,565.3,671.4,1363,960.5,553.2,609.7,1388.4,1882.8,149.9,502.3,5147.8,4459.3,27294.5,4778.7,1439.7,57.3,79.9,5084.7,829.7,1824.3,902.5,1436.6,675.1,2425.3,39056.8,4096,3580.2,9644.6,2408.4,5503.7,926.7,1280.3,0,6605.5,0.9,1584,246241.2,35.8,0,61.7,2126.3,394308.1
DOM_45T47: Wholesale and retail trade; repair of motor vehicles,3686.9,33.6,478.2,68,2.7,23202.8,3188.2,1919.2,3622.2,6558.2,9836.1,3233.7,5610.3,2708,5381.8,5663.2,5485.8,5553.4,12779.2,20412.5,2340.8,6984.3,5252.2,1285.4,13892.3,15457.3,3670.3,906.8,1046.2,5780.7,4145.4,7254.2,1506.1,1227.8,873.4,1328.3,660.1,3990.2,3651.5,5405.7,1224.2,13090.9,1016.6,1303.9,0,204624.5,243.8,8601.5,39886.4,480.9,0,1661.4,143537.1,621753.8
DOM_49: Land transport and transport via pipelines,784.1,10.1,187.4,31.5,1,5269.5,427.3,590.1,925.2,2849,2297.1,481.4,1253.4,1178.3,2384.5,1468.9,905.5,1069.7,2653.5,2651.1,598.4,1295.7,1911.6,173.6,3726.7,4871.7,1729.9,676.9,417.5,4647.3,534.1,1112.3,229.9,117.2,96.6,137.3,160.9,501.7,1468.4,1018.8,579.4,1715.7,124.3,311.2,0,27759.1,16.2,1015.6,4896.5,29.6,0,3549.7,34764.2,127606.8
DOM_50: Water transport,77.9,0.7,15.9,1.4,0.1,473.2,40.2,51.8,76.9,229.8,199,46.7,111.1,89.7,188.6,135.6,83.8,97.2,249.8,175.8,56.4,112.8,155.6,20.1,390.3,345.9,124.9,293,64.7,266.1,57.2,112.5,18.7,19.1,12.7,26.9,49.2,70.7,69.8,92.9,19.1,175.2,13.5,25.1,0,2190.9,1.4,105.9,591.6,535.6,0,552.1,28856.1,37771.1
DOM_51: Air transport,58.1,0.5,5.3,1.6,0,380.9,28.7,38.3,57,175.9,142.3,33.4,82.2,68.5,153,68.2,29.6,17.8,48.7,53.2,14.7,34.7,133.8,13.7,272,112.4,45.3,30,55.1,83.2,30.1,89,16.3,14.8,108.7,35.7,13.8,50.2,156.1,31.5,16.7,142.7,4.2,11.8,0,414.5,1.6,61.2,450.9,-498.4,0,1776.5,25821.4,30987.5
DOM_52: Warehousing and support activities for transportation,343.7,6.2,57.9,18.4,0.6,6016.7,240.3,298.1,394.2,1284.7,1300.3,246.5,914.7,811.2,954.9,904.5,995,843.3,2995.2,3824.7,237.1,860.8,724,114.6,1818.5,32408.3,14012,11553.1,4128.3,37924.8,7542.7,545.6,119.6,152.9,119.3,217.2,121.8,533.6,545.4,500.6,98.9,601.3,54.4,106.6,0,11709.9,4.5,2364,1608.6,359.5,0,297.9,16054.9,169891.8
DOM_53: Postal and courier activities,9.6,0.3,43,4.6,0.1,344.3,167.2,8.2,201.4,128.7,1212.4,842.2,260.3,68.4,84.9,500.1,1120.2,1134,2340.7,1125.8,33.6,753,414.1,38.5,155.8,17076.5,2043.2,22.4,149.2,790.5,2452.6,933.2,485.5,2143.6,149.8,1840.8,76,1571.5,1533.2,1597.7,9.5,675.9,443.9,196.6,0,2750.2,0.1,134.5,14.9,105.6,0,41.2,1488.1,49717.4
DOM_55T56: Accommodation and food service activities,13.3,0.8,7.1,0.5,0.5,135,22.9,6.3,26.5,48.2,343.3,37.9,74.1,25.8,39.3,310.4,161.4,151.1,630.7,280.1,25,112.2,74.8,31.2,957.9,1956.5,1122.9,101.9,809.1,1470.2,24.5,116.1,536.4,182.3,174.9,901,110,425.2,14844.4,990.4,47.6,267.2,731.1,583.2,0,70040.6,0.7,676.8,72.9,10.4,0,15570.2,268.8,115551.5
"DOM_58T60: Publishing, audiovisual and broadcasting activities",22,0.1,3.4,2.1,0,337.3,34.2,6.6,92.1,73.2,232.1,174.4,68.9,62.7,83.2,120.7,213.2,136.8,229.6,409.1,95.3,100.5,129.1,269.3,155.9,1269.8,230.3,46.2,35.2,214,97.6,620.7,8383.7,236.5,1104.6,844,170.2,6625,1322,1995.9,1166.6,1417.9,1086.3,537.5,0,17432.2,4109.8,5496.8,2678.4,342.8,0,153.6,23328,83997.5
DOM_61: Telecommunications,102.6,0.6,136.3,14.5,0.4,248.4,27.8,46.1,135.9,66.8,308.7,127.7,214,212.2,151.7,361.7,521.2,379.7,728.4,770.3,147.8,258.9,252.9,261.1,553.3,2907.9,378.6,63.8,68.5,540.1,2060.6,1025.2,2680,16520.9,1336.5,2223.7,535.2,3106,3947.7,2036.7,141.2,807.9,840.5,422.3,0,27733.7,48.4,294.3,45.3,103.9,0,866.9,2530.7,79295.4
DOM_62T63: IT and other information services,52.7,1,109.9,12,0.5,788.2,157,95.6,527.7,248.3,1850.3,1103.5,496.8,403.7,662.4,1365.7,1572.4,1380.6,3158.2,2825.7,532.9,998.3,937,1752.7,984.9,7790.4,1654.8,71.4,537.9,3254.8,1655.4,496.4,3979.9,3488.1,35427.2,8182.3,590.9,11791.5,4109.6,5964.9,2410.4,3980.3,825.2,713.7,0,6123,60.1,328.3,24656.6,898.3,0,72,29100.1,180181.6
DOM_64T66: Financial and insurance activities,1382.9,5.1,120.9,46.7,2.7,2069,232.6,393.2,802.2,596.7,1673.8,686.6,939.9,689.2,827.3,1256.2,953.7,1026,2465.2,3725.4,420.7,1056.8,2326.4,1249.1,5842.7,10844.4,5600.1,481.8,363.1,4434.8,583.9,1834.2,875.4,985.2,1415.5,62983.3,23144,5483.2,4569.4,5840.8,1724.5,4230,636.6,2373.5,0,98269.4,5,533.9,580.1,4524.9,0,797.2,30857.7,304762.8
DOM_68: Real estate activities,531,0.9,27.4,12.1,0.3,3218.6,436.5,439.2,1074.4,287.6,1468.3,658.2,1114.3,944.3,797.5,2166.9,1116.3,1282.7,3510.5,5207.8,474.9,1579.9,2572.5,1087.5,22434.6,33492.5,1192.6,102.3,100.9,3406,717.5,6436.2,1546.8,5644.7,1244.3,12589.9,14451.1,16062,8940,7082,690.5,6123.3,817.4,1760.2,0,309921.8,0,726.8,6976.4,64.4,0,2302.1,2294.5,497130.7
"DOM_69T75: Professional, scientific and technical activities",855.7,2.1,378.9,95.7,5.7,8498.3,669.2,400.2,1400.5,1837.6,6262.2,4035.7,2606.3,2225.2,1860.6,2460.9,3313.7,4514.3,10184.3,10868.8,1477.8,3266.9,3661.5,4441.8,4969.5,17189.8,3186.5,152.3,295.2,2873.5,641.1,690.4,2550.3,1422.8,4212.3,22013,15081.1,63964.3,17766.5,5941.2,1964.4,3146.3,947.7,1156.1,0,9872.3,2303.6,22413.6,70821.2,2779.8,0,422.7,60549.4,414650.8
DOM_77T82: Administrative and support services,5268.7,5.4,239,100.9,3.2,6117.9,703.6,762.9,2200.3,871.8,5124.9,2350.5,2677,2191.3,1953.5,4388.8,2850.5,3364,8487.5,10356.1,2616.1,3842.2,4315.4,3422.2,11931.6,27965.7,5908.7,2303,1397.6,9755.7,1510.2,3125.7,4401.3,2276.1,2869.3,13864.4,3714.2,9843.6,18554,9675.7,2219.9,9693.3,2378.6,2626,0,54551.2,12.6,1801.1,10942.9,1232.2,0,696.6,22716.6,312181.6
DOM_84: Public administration and defence; compulsory social security,409.8,2,81.2,31,0.1,1461.5,168.6,185.5,466.1,290,1243.7,502,510.3,598.2,529.1,559,508.9,603.2,800.4,1391.5,138.3,439.3,10040.7,944.7,4436.4,1948.9,716,71.5,64.3,641.7,112.7,609.9,302.2,198.3,616.9,698.8,2225.2,7189.4,2485.4,7028.8,342.5,878.3,219.8,689.9,0,18574.8,14.7,260628.5,4100.7,2.7,0,0,207.6,336910.8
DOM_85: Education,27.1,1,2,0.3,0.1,141.5,33.6,39.8,5.5,49.3,346.2,463.6,57.9,12.6,10.9,123.1,122.4,248,348.1,1337.7,131.1,119.4,43.2,66.5,18.6,82.5,115.6,31.9,66.2,39.8,111.6,3.1,135.4,222.1,796.9,1665.2,512.2,2131.7,214.4,4045.9,17447.3,708.9,153.3,324,0,19271,10190.7,131690.2,9591.6,23.3,0,811.2,2211.8,206347.2
DOM_86T88: Human health and social work activities,126,0,1.3,0.4,0.1,34,1.2,1,3.1,5.9,143.6,116,37.3,5.3,29.6,13.4,38,30.9,60.4,169.1,13.8,31.4,23.8,31.4,7.2,196.9,6.9,3.3,5.4,7.1,3.9,125.5,18.4,9.1,55.4,35.9,2.8,225.3,65.6,545.8,545.7,16691.9,377.2,428.8,0,89355.8,16589.5,269862.4,2724.2,10,0,595.4,816.7,400229.3
"DOM_90T93: Arts, entertainment and recreation",17.3,0.1,1.9,1.5,0,388.1,14.1,6.9,42.4,6.8,49.6,34.9,17.8,7.3,15.1,12,17.2,17.9,42.4,108.7,12.7,25.3,116.4,23.5,80.7,67.6,11.1,3.8,5.4,21.8,23.7,486.8,4228.1,119.5,15.9,813.6,79.7,599.7,103.6,6615.6,1141.5,245,8710.4,1239.9,0,27076.7,2497.4,14586.3,1903.5,25.8,0,1401.8,3528.4,76613.3
DOM_94T96: Other service activities,108,2.9,19.6,10.4,0.2,502.1,95.7,33.3,167.1,138,359.9,234.6,132.1,106.1,152.9,149.3,252.9,177.2,282.3,328.9,44.7,140.5,301,354.6,897.4,2460.1,273.2,43.9,55.7,637.8,6.1,746.3,214.4,117.1,274.5,744.6,84.9,2643.4,616.6,347.4,143.8,1902.6,612.3,5169,0,50128.2,29565.4,8524,178.7,1.8,0,735.8,278.3,111497.8
DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818.5,0,0,0,0,0,0,0,8818.5
IMPO: Imports (cross border),8322.9,78,2636.5,328.3,12.9,38186.9,5791,4081.1,11368.2,32424.1,39539.1,9701.7,21203.2,9489.4,40125.5,22282,21463.4,23851.1,55187.5,90994,15263.8,20122.7,20792.7,4364.4,39876,32385.1,8005,6918.5,4410.5,13093.1,2937.5,8361.5,6579.8,5096.7,18424.9,21288.9,4613.6,19644.2,18046.8,15018.4,3670.8,20060.5,2665.7,3740.8,0,314527,1746.8,25079.7,135632.1,11918.4,91720.8,0,0,0
TXS: Taxes less subsidies on intermediate and final products,2197.4,15.6,334.1,82.9,3.1,8663.7,1033.2,600.1,1675.8,5951.9,6155.4,2065.2,2083.7,1694,2812.9,2143.3,2519.5,2550.2,5292.5,13118.9,833.5,2622.1,7656.8,2042.1,9342.4,9704.4,4483.2,1481.2,3480.6,4126,1313.3,1625.1,1996.3,2091.5,1988,6011.8,6218.5,10015.6,4779.1,5237.5,1243.2,6680.6,1473.6,1332.9,0,178293.2,686.9,11465.2,42717.4,0,0,741.9,0,392677.6
VALU: Value added at basic prices,26269,319.4,2282.8,2720.2,131.4,55841.8,9525.1,8185.5,21669.8,5354.9,55642.8,30237.8,36021.7,21998.7,27033,69077,51601.3,54271,126343.1,164560.2,17807.1,48116.4,70059.1,39827.2,176788.3,358817,60943.1,9006.4,8703.9,62052.3,19770,58389.9,36974,31703.8,104709,137961,378743.2,231589.6,187560,221092,163201.5,276328.4,48781.4,79761.7,8818.5,0,0,0,0,0,0,0,0,3606591.1
OUTPUT: Output at basic prices,64283.4,558.1,8559.5,4014.3,181.9,224257.5,28008.8,28300,67292.5,67141.1,164372.2,65744,99523.7,58526.3,125138.2,163565.6,108740.6,126482.1,323575.5,482309.7,59291.3,116642.4,175909.4,85481.2,394308.1,621753.8,127606.8,37771.1,30987.5,169891.8,49717.4,115551.5,83997.5,79295.4,180181.6,304762.8,497130.7,414650.8,312181.6,336910.8,206347.2,400229.3,76613.3,111497.8,8818.5,0,0,0,0,0,0,0,0,7208104.5
