,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
"DOM_01T02: Agriculture, hunting, forestry",6269.4,3.6,0.8,0.2,0,17040.9,1375,116.1,43.8,5,30.3,15,60.5,1.4,0,0.1,0,0.1,0,1.1,0,1,0,0.1,16.7,27.6,0.5,0.1,0,1.7,0.1,271.6,0.9,0.2,0,1.2,6.5,0.5,0.3,16.9,26.9,19.5,19,51.9,0,6892.4,0,0,1188.5,71.9,0,14.2,3103.5,36697.2
DOM_03: Fishing and aquaculture,11,1.9,0.1,0,0.1,359.1,27.9,0.3,1.9,0.3,2.1,0.8,1,0.1,0.1,0.1,0,0,0.1,0.2,0,0.1,0.1,0,0.5,1.3,1,0.1,0.3,0.4,0,34.4,0.1,0.3,0.1,0.2,0.2,0.1,0.2,1.4,1.8,1.2,0.7,1.9,0,549.7,0,0,1,104,0,1.2,67.1,1176.4
"DOM_05T06: Mining and quarrying, energy producing products",1.7,0.1,1617.3,0.2,0.1,2.2,0.2,0.1,1.3,8747.8,145.8,0.2,0.2,2.9,5.6,0.4,0.3,0.4,0.2,0.8,0.2,24.6,2707.4,0.1,11.4,0.5,20.7,0.3,0.6,1.7,0.1,1.8,0.1,0.5,0.1,39.6,4.7,0.8,0.4,1.9,2.3,1.8,0.3,0.9,0,6,0,1.8,165.7,0.3,0,0,1783.9,15308.3
"DOM_07T08: Mining and quarrying, non-energy producing products",1.4,0.7,167.5,155.7,0,27.4,12.3,0.1,11.2,90.9,208.9,46.8,8.6,369.3,906.3,5.2,2,0.3,1.9,12.7,0.5,0,0,5.4,919.9,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0.2,0.1,0,2,9.2,2.4,0.1,0.2,0,194,0,0,0,-0.3,0,0,78.2,3241.9
DOM_09: Mining support service activities,0,0,703,78.8,149.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.1,0,0,0,0,0,0,0,0,0,0,1066.2,0,0,0,0.6,2061.5
"DOM_10T12: Food products, beverages and tobacco",506,3.9,6.7,1.4,3.9,2766.9,105.2,8.3,57.5,8.3,150,36.8,21.4,12.8,21.1,15.3,6.5,8.4,27.3,44.9,2.2,8.2,7.4,2.6,61,26.2,26.7,0.5,10.4,16.2,0.7,1507.8,16.7,3,1.5,20.4,6,15.6,67.9,71.5,84.4,53.7,3.1,8.1,0,26895.9,0,49.1,96.4,10395.3,0,63.7,4730,48064.8
"DOM_13T15: Textiles, textile products, leather and footwear",114.3,5.4,3.5,0.4,12,298.7,1577.5,24.5,107.4,4.6,32.7,20.4,69.7,5.7,18.2,20.5,9.2,11.5,35.8,188.5,2.5,54.9,9.1,4.4,68,29.6,20.9,0.3,5.4,32.9,3.9,52.7,21.6,0.9,0.6,18.6,11.7,19.1,16,21.2,11.8,44.1,17.2,62.3,0,5268.8,0,33.6,47.7,1849.9,0,51,1193.7,11535
DOM_16: Wood and products of wood and cork,57.7,0.6,0.1,0.1,0.1,133.5,19.6,330.1,8.6,0.3,48.1,4,14.9,13.1,3,11.8,5.6,5.1,9.7,18.5,4.3,312.7,0.2,27.2,750.3,74,1.7,0.1,0.3,3.1,0,0.4,0.4,0.1,0.1,1.1,9.9,1.1,0.7,1.6,5.6,2.7,1.5,5.1,0,149.4,0,4.9,200.4,109.3,0,2.3,66.2,2421.3
DOM_17T18: Paper products and printing,19.4,8.8,11.4,2.2,6.9,567.8,93.1,10.7,1435.7,8.8,141.8,92.6,79.9,38.6,25.5,19.8,24.8,15.2,34.9,45,2.2,26.9,10.5,6.3,29.8,501.7,49,1.5,12.4,84.4,8.2,53,148.6,24.6,0.7,112.9,13.7,331.9,89.1,60.6,63.1,97.7,66.8,135.5,0,2491.2,0,27.8,34,691.2,0,8.7,315.1,8181.7
DOM_19: Coke and refined petroleum products,506.7,40.3,15,54.9,30.7,111.9,30,25,18.5,151.2,376.9,14.1,21.4,28.4,36.1,12.5,5.1,6.1,20.9,35.2,1.2,9.5,52.6,16.1,103.8,160.7,1928.7,29.4,138.2,20.5,8.1,9.1,22.9,4.3,1.5,17.4,4.3,71.4,41.6,46.4,8.1,93.7,10.3,31.1,0,5289.5,0,18.4,20.4,2179.3,0,19.6,587.3,12486.2
