,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
DOM_20: Chemical and chemical products,819.1,6.1,29.7,10.8,41.3,553.2,256.1,36.4,270.5,93.8,2116.8,376.8,581.6,62.3,47.4,48.3,33.8,35.9,77.8,202.9,7.8,68.5,9.4,13.1,293.2,78.3,191.6,1.8,8.5,36.6,1.9,97.4,32.3,6.2,0.7,30,4.6,106.1,60.1,29.2,19.3,123.1,38.6,124.6,0,3520.6,0,47.1,67.2,1337.7,0,7.3,1122.7,13186.1
"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",123.3,0.7,2.2,0.8,1.8,102.8,25.2,4.8,15.6,5.6,78.6,252.6,14.8,6,11.3,6.6,4.6,3.1,9.5,18.2,0.8,5.3,3.1,1.6,36.9,12.8,11.5,0.2,1.2,9.8,0.3,10.9,4.4,1.1,0.1,7,1.4,8.7,3.5,7.5,12.6,275.5,6.8,16.6,0,2580.7,0,574.9,48.7,976.2,0,6.3,230.8,5545.5
DOM_22: Rubber and plastics products,120.2,2.5,17.9,1.1,45.3,658.3,251.5,26.1,233.3,5.1,459.8,68.2,1127.5,20.5,14.9,32.6,65.3,60.9,120.9,343.6,5.2,88.5,2.4,2.4,248.9,37.1,343.5,0.2,1.1,34.5,0.3,135.2,34,1.2,0.2,3.6,1.6,150.7,8.1,6.1,9.9,109.2,4.3,15.6,0,1170.9,0,3.3,19.4,337.9,0,1.2,175.5,6627.1
DOM_23: Other non-metallic mineral products,3.2,0.2,1.6,0.9,11.2,292.2,5.5,5.3,3.6,5.3,71.8,47.1,69,236.7,39.3,18.2,19.4,17.3,16.9,132.2,3.8,2.5,9,7,2198.7,9.1,8.9,0.3,34.5,5.4,0.3,10.9,1.2,0.6,0.3,6.9,2.3,3.2,1.8,9.7,4.1,4.9,1.5,4.8,0,245.8,0,1.1,34.1,85,0,0.1,85.3,3779.9
DOM_24: Basic metals,20.7,1.1,21.5,26.6,4.7,72.3,93.2,22.4,70.9,20.3,120.9,30.8,225,58.3,2730.6,1528.5,119.4,588.6,945.8,824.6,70.3,198.4,12.9,7.6,1631.8,12.2,37.8,0.1,0.4,14.7,0.1,2.4,24.8,0.6,0.2,14.9,7.1,58,3.6,22.4,8.6,7.4,2.2,4,0,170.8,0,8.5,153.3,43.7,0,0.2,828.2,10873.3
DOM_25: Fabricated metal products,26.5,6.1,106.1,1.8,7.9,370.8,142.9,23.6,27.2,4.9,250.1,96.6,55.5,11.7,156.4,143.3,38.2,53.7,272.2,680.4,14.2,61.9,21.3,5.3,456,15.1,40.5,1,2.1,21.3,1.2,5.2,34,6.7,0.6,22.5,19,25.9,4.8,38.1,9.3,10.4,4.1,11.3,0,889.1,0,7.3,645.9,490.6,0,2.6,214.1,5557.5
"DOM_26: Computer, electronic and optical equipment",6.1,0.3,2,0.6,1.1,10.6,8,0.6,7,1.3,4.3,2.9,2,1,2.6,2.2,41.7,3.5,6.9,15.2,0.9,2.7,1.8,0.7,11.3,9.4,7.7,0.1,0.3,3.6,0.9,1.4,3.8,8,0.3,3,1.2,5.4,2.1,3.4,2.1,6.7,1.8,5.8,0,338.4,0,1.6,289.5,924.1,0,10.9,127,1895.3
DOM_27: Electrical equipment,15.8,0.6,13.3,1.4,2.2,17,6.3,1.1,5,1.1,7.4,2.7,8.2,2.3,16.6,10.8,29,54.1,64,78.2,5.1,3.5,17.1,0.7,178.5,46.9,9.7,0.1,0.3,2.9,0.8,7.7,4.2,34.1,0,4.5,4.3,7.1,16.2,5.4,3.1,2.3,3.9,13.2,0,539.7,0,0.6,421.4,517.6,0,3.5,174,2365.8
"DOM_28: Machinery and equipment, nec",82.8,5.3,18.4,6.2,7.4,111.7,63.1,10.1,42.8,6.4,53.1,19.3,41.4,18.4,30.5,20.7,11,22.9,210.6,428.4,7.9,16.1,9.8,11.8,243.1,20.9,72.7,5.2,0.9,18.1,2.2,5.4,13,3.5,0.8,10.6,4.6,18,7.8,12,3.5,4.4,4.5,11.4,0,336.6,0,9.8,1837.8,1266.7,0,1.1,514.7,5685.7
"DOM_29: Motor vehicles, trailers and semi-trailers",35.6,1.4,8.1,3,11.3,58.4,40.3,6.9,15.1,7.9,25.1,14.4,18.4,6.6,15.3,11.4,5,7.5,45.6,568.2,2.7,5.5,7.3,4.8,56.6,73.9,244.9,0.7,0.9,20.8,4,5.3,10.3,3,0.3,10.3,3.5,17.4,5.3,17.3,4,5.3,43.2,90.6,0,2167.8,0,44.8,1770.5,2017.4,0,7.2,1433.7,8984.8
DOM_30: Other transport equipment,3.1,0.6,3.7,1.7,0.6,3.3,1.7,0.2,0.7,2.4,1.7,1.3,0.6,0.4,0.7,0.4,0.2,0.3,1.5,14.8,1.8,0.2,1.8,0.7,1.8,5.3,18.3,0.1,0.2,5.7,2,0.5,0.7,1.5,0.1,1.1,0.3,7.1,1.8,5.8,0.7,1.1,1.9,4,0,81.6,0,0.3,141.2,116.5,0,0.2,123.2,567.5
DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,7.5,0.8,7.1,2.1,4.8,33.1,82.2,2.9,22.1,3.6,21.5,16.4,15.3,3.5,16.2,16.3,6.5,10.9,37.5,125.3,2.3,8.6,10.7,4.6,118.7,27.2,40,0.5,1.1,21.4,2.8,3.5,21.8,4.3,0.2,16.9,6.1,64.9,13.2,18.3,7.2,12,7.4,16.1,0,1420.3,0,12,501.8,627.3,0,37.9,290.8,3755.5
"DOM_35: Electricity, gas, steam and air conditioning supply",127.8,1,64.6,35.2,6.2,441.5,117.1,38.3,131.6,24.6,286.1,21.9,144.1,163.5,194.8,26.6,10.3,12.2,30.5,81.9,2.7,18.4,1347.9,116.4,110.4,379.2,155.8,1.2,79,89,7.7,230.4,36.5,31.5,2.2,63.3,11,138.8,36.2,281.7,112.4,126.6,45.4,248.9,0,4226.2,0,0,6.2,-0.5,0,0.4,9.4,9874.2
"DOM_36T39: Water supply; sewerage, waste management and remediation activities",1,0,0.2,0.8,0.3,18.5,5.6,0.3,17.5,4.7,10.1,8.9,2.5,2.3,21.9,1.9,0.6,0.5,1.3,3.5,0.2,1.4,2.2,17.3,6.2,35.1,7.5,0.8,1.3,18.7,0.2,20,4.1,0.4,0,6.6,1,34.9,6,125,22.6,14.8,18.5,51.1,0,826.5,0,1109,0,0,0,0,0,2433.8
DOM_41T43: Construction,156.5,0,58,16.6,0,7.6,1,0,1,22.8,6.5,4.1,0.1,1.2,1.5,0.3,0.2,4.7,0.3,0.7,0,0.9,1,5.4,1325.4,8.6,14.5,5.9,0,120.3,7.4,193.2,0.9,16.6,0,52,565.5,40.2,20.8,107.4,57.1,32.7,28.9,70.8,0,0,0,0,20611.4,-0.1,0,0,0,23569.7
DOM_45T47: Wholesale and retail trade; repair of motor vehicles,1696.7,32.9,105.9,47.3,46.6,4733,835.4,143.6,498.5,148.7,903,397.6,341,166.8,250,130.7,123.8,78.7,207,682.5,17.6,145.1,131.4,33.8,1326.9,363.6,797.3,10.3,62.1,110.5,34.1,797.7,93.7,59.9,0,70,12.5,320.2,141.7,167.1,91.4,297.1,82.2,207.2,0,21882,0,259.2,2177,-41.9,0,88.2,3388.7,44696.8
DOM_49: Land transport and transport via pipelines,401,9.4,67.6,49,35.1,1168.9,174.4,67.6,169.5,122.1,516.8,119.4,204.2,91.8,356.7,159.1,51.3,81.1,190.7,341.1,13,68.7,123,16.5,688.7,303.6,268.9,5.2,22.9,11.5,33.9,231.8,29.4,12.1,1.5,24.2,5.3,150.8,47.6,39.8,40.5,69.4,49.8,162.9,0,8619.4,0,35.3,963.5,0.1,0,110.9,1050.3,17577.1
DOM_50: Water transport,18,0.1,1.2,1,0.6,39.3,6.8,2.6,5.7,0.9,18.5,4.1,7.4,2.7,15.7,6.9,2.1,3.6,8.6,14.9,0.6,3,1.3,0.4,30,5.1,13.2,0.2,1.2,1.5,0.2,11.7,0.8,0.6,1.7,1.4,2.5,2.8,3.7,1.6,1.2,4.1,0.5,1.1,0,212.9,0,1.7,50,-186.4,0,13,223.2,565.4
DOM_51: Air transport,18.1,2.8,3.5,1.6,4,45.3,9.5,2.7,7.8,5.7,25.4,14.8,11.4,3.6,16.3,8.2,3.4,4.2,10.3,16.9,0.8,4,8.3,1.2,31.9,15.8,43.4,2.8,11.3,9.9,2.5,11.1,4.8,5.1,0.1,7.4,0.5,39.7,6.1,28,4,4.9,5.5,15.5,0,678.9,0,1.6,44.6,10.7,0,58.1,369.7,1643.5
DOM_52: Warehousing and support activities for transportation,86.7,19.3,42.3,4.6,8.7,185.5,31.5,11.8,26.7,42.6,88.3,22,34,13.6,73.4,31.9,9.6,16.6,39.3,68.8,2.8,13.4,49.9,4.8,143.6,53.3,731.6,48.6,169.4,201.9,11.9,55,20.6,22.8,0,81,0.6,19.8,7.3,49.4,4.9,15.9,15.4,40.8,0,1218.9,0,7.6,208,4.5,0,3.3,549.7,4613.9
DOM_53: Postal and courier activities,3.2,0.3,0.9,0.7,1.5,16.4,4,0.8,4.3,0.6,10.7,9.3,3.2,2.1,2.3,1.6,1.3,0.8,3.2,8.4,0.3,1.2,4.2,9,7.3,48.7,8.4,0.1,2.9,10.3,4.2,2.7,6.4,16,0,112.4,2.1,69.9,12,56.7,10,19.8,23.5,57.1,0,273.4,0,0,0,0.4,0,0.9,21,856.5
DOM_55T56: Accommodation and food service activities,22.4,8,6.2,1.3,4.9,37,5,0.2,7.2,4.9,10.5,20,0.1,9.3,12.3,2.8,0.8,0.3,0.1,15.5,0.5,14.6,2.5,2.8,3.7,47,36,0.3,12.4,19,3.5,69.7,27.9,1.1,0,44.2,1,126.1,54.2,180.3,45,54,11.2,31.7,0,7893.3,0,0,0,0.1,0,590.5,0,9441.4
"DOM_58T60: Publishing, audiovisual and broadcasting activities",5.6,0.4,7.7,2.7,1.5,197.8,20.9,1.8,36.6,13.2,112.2,98.1,13.8,6.7,4.4,5,8,4.5,11.4,28.7,0.5,5.6,4.3,4.5,2.4,278.5,21.7,0.6,6.1,46.7,13,27.7,280.3,41.5,0.1,169.5,1.7,132.5,16.4,59.3,12.3,42.2,34.3,54.3,0,1869.2,0,60.5,131.9,46.5,0,5.5,189.3,4140
DOM_61: Telecommunications,5.4,2.4,10,1.8,2.6,41,13.6,3.1,12.6,6.5,20.7,11.9,12.2,5.2,3.7,4.1,4.9,2.6,9.3,11.9,0.7,4.9,8.5,5.5,17.9,173.7,78.6,1.7,11.7,250.9,6.3,32.1,22.3,163.4,0,114.2,1.4,84.3,37.6,65.2,25.8,71.8,43.5,91.4,0,4103.6,0,0,0,2.1,0,9.3,241.6,5855.8
DOM_62T63: IT and other information services,3.9,1.2,6.5,2.6,1,9,5,0.3,1.4,6.3,3.7,3.8,0.8,0.8,1.6,1,0.5,0.6,3.6,23.8,0.2,0.3,8.8,4.8,4.9,82.9,28.5,0.2,0.1,8.9,4.1,5.6,40.2,29.9,0,29.2,14.5,12,2.7,41.3,4.7,23.5,3.1,6.5,0,96.3,0,41.4,428.6,-0.1,0,0.7,29,1030.7
DOM_64T66: Financial and insurance activities,188,11.3,77.9,10.1,11.1,201.6,84.2,15.9,66.3,17.2,95.1,59.5,65.8,26.3,22.9,20.9,22.1,11.1,37.5,61.7,4.5,20.2,50.8,37.4,192.4,1166.2,902.9,15.9,31.2,106.9,15.7,118.6,61.7,73.2,0,901.2,350.9,245.3,59.4,763.8,75.9,147.8,50.1,157.7,0,6111.1,0,508.4,0,0.7,0,28.7,87.1,13392.1
DOM_68: Real estate activities,3,1.1,7,2.2,0,35.9,19.9,3.8,9.4,6,17.1,6.7,11.2,2.5,1.5,4.2,5,1.1,5.9,10.7,0.8,4.3,11.9,6.5,0,645.7,100.5,0.7,2.9,266,7.6,182.4,15.1,31.2,383.5,88.4,557,59.7,530.8,45.6,30.6,75,32,91.6,0,14140.1,0,0,1071.6,0.5,0,71.1,58.3,18665.6
"DOM_69T75: Professional, scientific and technical activities",31.9,15.3,213,17.1,58.2,669.1,121.6,10.7,145.6,85.2,351.7,309.7,92.5,45.3,31.3,36.6,36.4,22.2,73.2,98.4,5.4,33.3,127.9,98.1,461.7,1064.5,371.6,3.9,11.9,671.7,53.7,383.1,433.1,335.6,0,1026.3,16.9,376.8,129.3,244.9,92,337,53,97.3,0,1248.6,0,464.2,160.5,0.8,0,12.7,125.6,10906.1
DOM_77T82: Administrative and support services,10,29.3,119.8,88.6,291.1,446.4,67.3,2.5,66.5,44,286.9,271.8,15.6,77.7,93.5,27,14.6,8,11.2,89.1,2.7,17.6,90.2,138.5,762.2,421.7,296.8,163.3,347.4,161.3,99.5,119.1,116.8,899.2,0,437.8,123.5,65.3,22.3,602,104.6,301.6,289.4,443.5,0,2211.3,0,0,19,6,0,16.7,443.9,10784
DOM_84: Public administration and defence; compulsory social security,31.8,0.7,0.6,1.4,0.6,19.6,2.7,0.1,2.8,1.8,12.3,11.1,0.2,3.2,3.9,0.9,0.5,0.1,0.1,1.9,0.2,0.1,7.7,4.6,7.1,21.1,9.5,1.9,0.6,23.6,9.7,1.8,7,18.2,0,8.2,0.7,4.7,1.3,4.2,2.3,6.3,7.2,16.5,0,393.1,0,16523.9,0,0,0,0,0,17177.8
DOM_85: Education,1,0.2,11.8,0.1,0.1,14.7,2,0.1,2.1,7.8,9,8.3,0.1,2.4,3,0.7,0.3,0.1,0.1,2,0.1,0.8,6.4,0.1,0.3,4.5,0.6,0.1,0.4,15.4,0.1,6.9,2.5,0.1,0,6.5,0.2,43.1,2.6,20.1,15,3.5,5,16,0,2194.1,19.6,9398.4,0,0.2,0,52.6,0,11881.2
DOM_86T88: Human health and social work activities,3.1,0.1,0.7,0,0,1.6,0.2,0,0.2,0.1,0.9,0.8,0,0.2,0.3,0.1,0,0,0,0.1,0,0.1,0.7,0.3,0,0.7,0.5,0.1,0,1.8,0,1,0.2,0.1,0,2.5,11.1,0.6,0.1,7.1,15,415.4,4,7.6,0,3871.2,8.8,7367.3,0,0,0,17.6,0,11742.6
"DOM_90T93: Arts, entertainment and recreation",0.7,0,0,0,0,7.4,1,0,1.1,0,4.7,4.2,0.1,1.2,1.5,0.3,0.2,0,0,0.7,0,0,0,0,0,1.8,2.8,0,0.9,3.5,0.1,0.2,48.3,82.4,0,3.9,0,28.8,1.8,6.7,3.7,0.3,13.8,2.8,0,2352.8,0,0.4,52.3,0.1,0,43.7,29.1,2703.5
DOM_94T96: Other service activities,6.1,0,0,0,6.8,1.3,0.4,0,1.8,20.2,0.9,1.4,0,0.1,0.3,0.2,0,0,0,0.3,0,1.6,0.2,0,4.8,61.9,50.5,0,13.2,3,0.1,11.2,6,0,0,30,0.6,158.3,38.6,21.9,11.2,181.6,24.8,80.3,0,6537.8,855.4,133.5,0,0,0,20.8,0,8287.2
DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908.4,0,0,0,0,0,0,0,1908.4
IMPO: Imports (cross border),493.4,18.1,110.8,35.2,38.7,776.4,412.3,50,408.5,164.8,878.6,237.1,285.1,79.7,365.6,152.3,256,114,384.2,1046.4,38.1,103.7,113.9,37.6,845.8,380.1,405.8,13.4,42,108.2,16.6,121,126.1,90.8,5.5,216.8,31.7,222.1,77.2,156.6,52.3,158.9,96.2,228.6,0,8762.4,0,327.9,4875.3,346.7,2748.1,0,0,0
TXS: Taxes less subsidies on intermediate and final products,543.8,27,66.6,42.1,42.2,867.3,159.8,30.7,123.8,158,469.6,114.8,102.5,52.4,80.2,40.5,44.2,26.3,77.4,318.3,7.1,33.4,194.8,32.4,361,312.7,1191.3,27.1,107.2,93,19.7,240.5,70.3,86.7,4.1,96,54.9,156.8,73.1,165.8,51.9,180,59.6,158.6,0,11586,1,197.2,1971.8,0,0,89.3,0,518880.3
VALU: Value added at basic prices,24086.8,904.3,11568,2528.8,1156.7,14490.8,5216.6,1379.1,4033.8,2402,4699.1,2624.1,2842.2,2119.1,5216.6,2968.9,871.7,1066.1,2640.3,2277.8,333,2359.3,4681.6,1733.4,9797.9,37650.7,8962,218.3,485.9,1904.6,466.6,4349.9,2289.2,3732.4,623.6,9456.7,16784.9,7396.4,9110.1,13537,10697.2,8279,1467.1,5332.5,1908.4,0,0,0,0,0,0,0,0,258650.9
OUTPUT: Output at basic prices,36697.2,1176.4,15308.3,3241.9,2061.5,48064.8,11535,2421.3,8181.7,12486.2,13186.1,5545.5,6627.1,3779.9,10873.3,5557.5,1895.3,2365.8,5685.7,8984.8,567.5,3755.5,9874.2,2433.8,23569.7,44696.8,17577.1,565.4,1643.5,4613.9,856.5,9441.4,4140,5855.8,1030.7,13392.1,18665.6,10906.1,10784,17177.8,11881.2,11742.6,2703.5,8287.2,1908.4,0,0,0,0,0,0,0,0,443745.4
