,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
DOM_53: Postal and courier activities,7,4.8,0,0.8,0,8.5,1.7,1.3,1.5,0.3,3.9,2.4,1.8,1.3,1.3,3.9,0.6,0.4,1.7,0,3.6,1.3,9.5,2.1,4.6,95.7,4.6,0.4,0.1,7.9,43.5,4.4,17.5,31.1,9.2,52.3,3.9,22.4,14.4,33.6,4.7,13.1,0.8,2.6,0,83.5,0,0,0.7,4.7,0,3.3,70.6,589.3
DOM_55T56: Accommodation and food service activities,35.7,5,1,55.7,0,21.6,4.3,3,5.7,1.2,7.4,4,5.1,5.2,57.8,4.6,3.6,2.2,5.2,0,4.1,2.6,5.3,7.8,54.4,169.6,210.6,11.2,191.9,11,1,18,53.6,16,17.2,56.9,8.9,90.8,30.8,81.7,243.8,151.6,24.7,57.8,0,8820.4,1.2,974.7,12.6,0,0,1062,12.6,12633.1
"DOM_58T60: Publishing, audiovisual and broadcasting activities",13.7,8.1,0.4,10.5,0,243.6,14.2,6.1,27.1,2.2,55.2,48.3,14.2,12.1,12.1,10.2,4.7,3.3,16.5,0,2.4,8.5,17.9,13.1,29.9,531.2,51.3,6.4,38.1,79.9,11.5,48.5,567,611.5,27.2,202.4,89.2,376.2,48.7,72.8,124.5,29.3,32.3,23.6,0,943.8,30.4,19.8,25.6,3.4,0,18.4,242.5,4829.7
DOM_61: Telecommunications,13.3,8.4,0.5,23.5,0,34.8,6.9,7.4,10.9,1.8,9.8,3.6,6.4,6.2,25.3,9.7,3.6,2.2,8.5,0,5,9.1,18.3,6,35.8,225.5,75.7,2.1,16.9,19.9,10.4,24.8,71.2,1146.4,79.4,133.9,21.4,146,67.7,87.8,40.1,89.2,8.8,11,0,4628.3,7.5,0.2,26.1,1.8,0,68.7,87.7,7355.6
DOM_62T63: IT and other information services,5.4,0.4,0.7,59.2,0,130.6,28.3,26.7,46.3,12.9,47.1,26,2.4,19.4,66.2,39.4,8.1,4.8,2.6,0,7.9,26.2,17.7,8.3,12.7,347.1,10.2,3.7,55.5,34,0.5,12.3,24.2,75.3,275.8,426.8,9.5,271.6,60.9,96.2,12,42.4,13.2,6.9,0,196.4,0,12,1856.2,8.3,0,0.7,289.9,4740.8
DOM_64T66: Financial and insurance activities,469.8,91.6,15,206.8,0,389.8,66,70.6,178.9,63.3,79.5,20.3,82,49,207.3,65.3,16.7,12.8,59.4,0,50.8,66.6,344.7,62.7,929.7,2242.9,455,61.1,71.3,363.1,4.3,184.6,84.5,104.2,49.1,2987.2,1176.3,409.3,277.1,88.2,132.9,195.5,37,57.1,0,9541.5,0.2,158.4,61,67.4,0,74.8,551.1,23033.3
DOM_68: Real estate activities,60.9,28.1,0.1,72.1,0,100.8,55,16.9,39.6,2.2,29.9,7.5,21.5,30,69.3,24.5,14.8,10.4,18.6,0,21.3,74.8,40.3,16.1,127.7,3603.9,180,2.1,248,204,8.6,472.3,214.8,521.1,110.2,273.3,458.1,690.9,227.6,177.2,634.1,354.8,121.9,177.3,0,21101,0,0,179.7,3.3,0,172.4,131.6,31150.9
"DOM_69T75: Professional, scientific and technical activities",97.9,51.1,61.1,1935.5,28.1,1319.2,152.6,321.1,447.9,72.2,399.2,212.7,84.6,247.3,2101.4,271.7,41.6,33.9,162.5,0,173.3,131.4,463.5,137.9,1148.8,3465.3,255.8,12.4,282.8,238.9,22.2,170.8,335.2,483.2,361.9,1451,434.6,3419.7,685.7,185.3,522.3,400.8,153.8,112.1,0,1043,0.3,143,3167.2,16.8,0,31.8,530.2,28022.7
DOM_77T82: Administrative and support services,207.7,153,10,483.1,0,309.9,23.1,94,228.8,18.4,128.1,10.1,21.4,72.6,528.6,39.9,5.6,4.2,16.6,0,132.6,47.8,182.6,67.2,643.7,2959.5,708.3,32.7,608.3,351.3,19.4,137.6,193,639.4,100.4,1068.2,128,399.6,359,457.7,269.8,360.1,70.5,38,0,826.2,1.3,25.5,60.8,31.8,0,50.5,894.6,14220.7
DOM_84: Public administration and defence; compulsory social security,17.5,4,0.1,18,0,59.7,3.4,6.7,36.1,1.5,9.2,2.5,8.4,3.3,22.5,3.7,1.3,1,7.8,0,2.2,3,8.1,22.3,24.7,178.7,55.8,13.7,22.9,44.8,0.5,11.2,11.4,18,10.2,19,6,34.4,10.4,59.6,9.5,28.9,4.3,4.3,0,608.4,56.4,18450.7,179.7,1.7,0,4.8,102.5,20214.7
DOM_85: Education,2.1,10.6,0.3,31.9,0.1,24.3,2.4,5.6,7.5,3.4,9.2,2.1,2.3,5.1,42.4,4.1,1.7,0.8,1.7,0,2.8,2.2,7.2,2.9,17.6,79.5,6.1,0.4,8.8,7.3,0.3,6,12.9,13.7,14.5,49.4,7.1,70.7,34.9,5.6,40.7,23.2,2.2,8.7,0,7117.2,67.5,11053.7,501.9,0.3,0,63.2,12.3,19398.1
DOM_86T88: Human health and social work activities,37.2,9.4,0.1,20.4,0,51.6,7.7,8,13.9,0.3,11.7,3.9,3.6,4.2,25.5,8,1.5,0.8,3.7,0,5.6,4.3,0.9,8.2,38.8,133.9,18.5,0.4,3,3.7,0.6,13.7,9.9,30.2,12.9,54.2,2.6,55.6,35.5,39.9,6.8,1046.6,1.6,41.6,0,8300.9,1425.7,11128.2,62.4,0.1,0,47.2,8,22752.8
"DOM_90T93: Arts, entertainment and recreation",0.7,0.2,0,1.7,0,4.2,0.4,0.2,2.5,0.1,1,0.7,0.2,0.2,2.2,0.3,0.2,0.1,0.2,0,0.2,0.2,0.4,0.2,2,10.3,0.8,0.1,0.9,0.4,0,3,281.1,1.6,31.3,10.3,0.5,306.5,1.3,67.3,2.4,5.1,116.8,1.9,0,2511.1,22.2,86.1,7.8,0,0,106.6,12.4,3605.7
DOM_94T96: Other service activities,4.2,2.1,0.4,86.2,0,22.6,3.4,5.6,14.6,0.9,7,2.6,3.2,4,57.2,2.9,14.6,7.1,8.2,0,17.5,2.3,33.9,4.1,11.1,164,54.8,9.1,23.7,10.5,1.6,116.2,38.6,105.2,36.8,182.1,17.3,312.4,34.7,111.7,9.1,335.7,10.7,88.6,0,2233.9,203.3,139.4,191.2,0.9,0,65.3,42.5,4854.8
DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPO: Imports (cross border),1437,501.9,43.4,1552.2,2.7,2514.1,435.7,281.8,803.2,4414.6,1226.1,255.8,732.3,455.1,2217.3,617.9,139.3,178.4,482.1,0,501.6,437.3,2674.6,126.9,3776,3112.9,2496.7,144.9,592.5,178.9,15.3,681,406.6,426.7,227.1,794.8,149.4,675,463.5,1366.1,238.8,1241.1,77.3,253.5,0,29809.1,10.5,103.2,12530.8,893.7,2422.1,0,0,0
TXS: Taxes less subsidies on intermediate and final products,546.1,218.7,4.5,395.5,0.4,975.5,66.6,58.1,201.2,94.4,218.8,76.8,97.5,81.4,480.8,44.5,21.4,23.3,42.9,0,60,48.8,366,72.2,768.8,814.9,1167.9,58.3,260.7,66.2,3.6,336.3,87.4,112.7,38.5,153.8,205.3,192.6,111.2,274.9,142.6,512.2,26,78,0,12550.4,33.7,425.2,3171.4,0,0,229,0,26017
VALU: Value added at basic prices,8873.5,1781.8,151.2,15356.6,85,11851.2,492.3,1391.2,3397.2,335,1800.5,677.7,908.6,863.5,14108.8,1769,790,177.4,927,0,1014.5,1349.8,6705.9,2034.6,19800.6,28615.7,6879.5,355.8,1444.4,5191.1,372.4,6712.3,1662.4,2075.5,3057.2,14077.9,24664.5,19157.6,10502.1,14425.2,15674,14668.6,2705.2,3292,0,0,0,0,0,0,0,0,0,272176.4
OUTPUT: Output at basic prices,18234,5352.5,337,25631.8,122.6,37126.3,2041.4,4571.9,9079,5863.1,7065.2,1873.6,3204.6,3553.6,28044.6,4022,1299.7,709.8,2478.9,0,2769.7,3064.4,18431.7,3342.3,42417.6,55652.2,18513.2,1133.1,4990.2,7790.3,589.3,12633.1,4829.7,7355.6,4740.8,23033.3,31150.9,28022.7,14220.7,20214.7,19398.1,22752.8,3605.7,4854.8,0,0,0,0,0,0,0,0,0,516118.6
